word, phonetic
autopsie, otɔpsi,ɔtɔpsi
autopsier, otɔpsje,ɔtɔpsje
autorisation, ɔtɔʁizasjɔ̃
autoriser, ɔtɔʁize
autoritaire, ɔtɔʁitɛʁ
autoritairement, ɔtɔʁitɛʁmɑ̃
autoritarisme, ɔtɔʁitaʁism
autorité, ɔtɔʁite
autoroute, otoʁut
autoroutier, otoʁutje
autorégulation, otoʁeɡylasjɔ̃
autosatisfaction, otosatisfaksjɔ̃
autosomique, otozɔmik
autosuffisance, otosyfizɑ̃s
autosuggestion, otosyɡʒɛstjɔ̃
autour, otuʁ
autre, otʁ
autrefois, otʁəfwa
autrement, otʁəmɑ̃
autrichien, otʁiʃjɛ̃
autruche, otʁyʃ
autrui, otʁɥi
auvent, ovɑ̃
auvergnat, ovɛʁɲa
aux, o
auxdites, odit
auxdits, odi
auxiliaire, ɔksiljɛʁ
auxine, ɔksin
auxquelles, okɛl
auxquels, okɛl
aval, aval
avalanche, avalɑ̃ʃ
avalant, avalɑ̃
avaler, avale
avaliser, avalize
avance, avɑ̃s
avancement, avɑ̃smɑ̃
avancer, avɑ̃se
avanie, avani
avant, avɑ̃
avantage, avɑ̃taʒ
avantager, avɑ̃taʒe
avantageusement, avɑ̃taʒøzmɑ̃
avantageux, avɑ̃taʒø
avantagé, avɑ̃taʒe
avare, avaʁ
avarice, avaʁis
avarie, avaʁi
avarier, avaʁje
avatar, avataʁ
avec, avɛk
aven, avɛn
avenant, avənɑ̃
avenir, avniʁ
avent, avɑ̃
aventure, avɑ̃tyʁ
aventurer, avɑ̃tyʁe
aventureux, avɑ̃tyʁø
aventurier, avɑ̃tyʁje
avenu, avny
avers, avɛʁ
averse, avɛʁs
aversion, avɛʁsjɔ̃
avertir, avɛʁtiʁ
avertissement, avɛʁtismɑ̃
avertisseur, avɛʁtisœʁ
aveu, avø
aveuglant, avœɡlɑ̃
aveugle, avœɡl
aveuglement, avœɡləmɑ̃
aveugler, avœɡle
aveuglette, avœɡlɛt
aveuglément, avœɡlemɑ̃
aviaire, avjɛʁ
aviateur, avjatœʁ
aviation, avjasjɔ̃
avicole, avikɔl
aviculture, avikyltyʁ
avide, avid
avidement, avidmɑ̃
avidité, avidite
avilir, aviliʁ
avilissant, avilisɑ̃
avilissement, avilismɑ̃
avion, avjɔ̃
aviron, aviʁɔ̃
avis, avi
aviser, avize
aviso, avizo
avisé, avize
avitaminose, avitaminoz
avivement, avivmɑ̃
aviver, avive
avocat, avɔka
avoine, avwan
avoiner, avwane
avoir, avwaʁ
avoisinant, avwazinɑ̃
avoisiner, avwazine
avortement, avɔʁtəmɑ̃
avorter, avɔʁte
avorton, avɔʁtɔ̃
avouable, avwabl
avouer, avwe
avoué, avwe
avoyer, avwaje
avril, avʁil
avulsion, avylsjɔ̃
avènement, avɛnmɑ̃
avé, ave
avérer, aveʁe
axe, aks
axer, akse
axial, aksjal
axillaire, aksilɛʁ
axiologie, aksjɔlɔʒi
axiologique, aksjɔlɔʒik
axiomatique, aksjɔmatik
axiomatisation, aksjɔmatizasjɔ̃
axiome, aksjom
axis, aksis
axone, akson,aksɔn
axonge, aksɔ̃ʒ
ayant, ɛjɑ̃
ayatollah, ɛjatɔla
azimut, azimyt
azotate, azɔtat
azote, azɔt
azotique, azɔtik
azoté, azɔte
aztèque, astɛk,aztɛk
azur, azyʁ
azyme, azim
aède, aɛd
aérage, aeʁaʒ
aération, aeʁasjɔ̃
aérer, aeʁe
aérien, aeʁjɛ̃
aérobie, aeʁɔbi
aérodrome, aeʁodʁom
aérodynamique, aeʁɔdinamik
aérogare, aeʁɔɡaʁ
aéronaute, aeʁonot
aéronautique, aeʁɔnotik
aéronef, aeʁɔnɛf
aéroplane, aeʁɔplan
aéroport, aeʁɔpɔʁ
aérosol, aeʁɔsɔl
aérostat, aeʁɔsta
aérostation, aeʁostasjɔ̃
aînesse, ɛnɛs
aîné, ene
aï, ai
aïeul, ajœl
aïeux, ajø
ba, ba
baba, baba
babil, babil
babillage, babijaʒ
baby, babi,bebi
babylonien, babilɔnjɛ̃
bac, bak
baccalauréat, bakalɔʁea
bacchanale, bakanal
bacchante, bakɑ̃t
bachelier, baʃəlje
bachi, baʃi
bachique, baʃik
bachot, baʃo
bacillaire, basilɛʁ
bacille, basil
bacon, bekɔn
bactéricide, bakteʁisid
bactéridie, bakteʁidi
bactérie, bakteʁi
bactérien, bakteʁjɛ̃
bactériologie, bakteʁjɔlɔʒi
bactériologique, bakteʁjɔlɔʒik
bactériophage, bakteʁjɔfaʒ
badaud, bado
badigeon, badiʒɔ̃
badigeonnage, badiʒɔnaʒ
badin, badɛ̃
badinage, badinaʒ
badiner, badine
bafouer, bafwe
bagage, baɡaʒ
bagarre, baɡaʁ
bagasse, baɡas
bagatelle, baɡatɛl
bagnard, baɲaʁ
bagne, baɲ
bagnole, baɲɔl
bague, baɡ
baguer, baɡe
baguette, baɡɛt
bah, ba
bahut, bay
bai, bɛ
baignade, bɛɲad
baigner, beɲe
baigneur, bɛɲœʁ
baignoire, bɛɲwaʁ
bail, baj
baille, baj
bailler, baje
bailleur, bajœʁ
bailli, baji
bailliage, bajaʒ
bain, bɛ̃
baise, bɛz
baiser, beze
baisse, bɛs
baisser, bese
bal, bal
balade, balad
balader, balade
balai, balɛ
balance, balɑ̃s
balancement, balɑ̃smɑ̃
balancer, balɑ̃se
balancier, balɑ̃sje
balançoire, balɑ̃swaʁ
balayage, balɛjaʒ
balayer, baleje
balayeur, balɛjœʁ
balbutiant, balbysjɑ̃
balbutiement, balbysimɑ̃
balbutier, balbysje
balcon, balkɔ̃
baldaquin, baldakɛ̃
baleine, balɛn
baleiner, balene
baleinier, balenje
balisage, balizaʒ
balise, baliz
baliser, balize
balistique, balistik
balkanique, balkanik
balkanisation, balkanizasjɔ̃
ballade, balad
ballast, balast
balle, bal
baller, bale
ballet, balɛ
ballon, balɔ̃
ballonnement, balɔnmɑ̃
ballonnet, balɔnɛ
ballot, balo
ballottage, balɔtaʒ
balnéaire, balneɛʁ
balourd, baluʁ
balsamique, balzamik
baluchon, balyʃɔ̃
balustrade, balystʁad
balustre, balystʁ
balzacien, balzasjɛ̃
bambin, bɑ̃bɛ̃
bambou, bɑ̃bu
ban, bɑ̃
banal, banal
banalement, banalmɑ̃
banalisation, banalizasjɔ̃
banaliser, banalize
banalité, banalite
banane, banan
bananer, banane
bananier, bananje
banc, bɑ̃
bancaire, bɑ̃kɛʁ
banco, bɑ̃ko
bandage, bɑ̃daʒ
bande, bɑ̃d
bandeau, bɑ̃do
bandelette, bɑ̃dlɛt
bander, bɑ̃de
banderole, bɑ̃dʁɔl
bandit, bɑ̃di
banditisme, bɑ̃ditism
bandoulière, bɑ̃duljɛʁ
bang, bɑ̃ɡ
banlieue, bɑ̃ljø
banneret, banʁɛ
banni, bani
bannir, baniʁ
bannissement, banismɑ̃
bannière, banjɛʁ
banque, bɑ̃k
banquer, bɑ̃ke
banqueroute, bɑ̃kʁut
banqueroutier, bɑ̃kʁutje
banquet, bɑ̃kɛ
banqueter, bɑ̃kte
banquette, bɑ̃kɛt
banquier, bɑ̃kje
banquise, bɑ̃kiz
bantou, bɑ̃tu
baobab, baɔbab
baptiser, batize
baptismal, batismal
baptistaire, batistɛʁ
baptiste, batist
baptistère, batistɛʁ
baptisé, batize
baptême, batɛm
baquet, bakɛ
bar, baʁ
baraka, baʁaka
baraque, baʁak
baraquement, baʁakmɑ̃
baraquer, baʁake
baraterie, baʁatʁi
barbare, baʁbaʁ
barbaresque, baʁbaʁɛsk
barbarie, baʁbaʁi
barbarisme, baʁbaʁism
barbe, baʁb
barbelé, baʁbəle
barber, baʁbe
barbiche, baʁbiʃ
barbier, baʁbje
barbon, baʁbɔ̃
barbouiller, baʁbuje
barbu, baʁby
barde, baʁd
barder, baʁde
baril, baʁil
barillet, baʁijɛ
baromètre, baʁɔmɛtʁ
barométrique, baʁɔmetʁik
baron, baʁɔ̃
baronner, baʁɔne
baronnet, baʁɔnɛ
baronnie, baʁɔni
baroque, baʁɔk
baroud, baʁud
barque, baʁk
barrage, baʁaʒ
barre, baʁ
barreau, baʁo
barrer, baʁe
barrette, baʁɛt
barricade, baʁikad
barricader, baʁikade
barrique, baʁik
barrière, baʁjɛʁ
baryte, baʁit
baryton, baʁitɔ̃
baryum, baʁjɔm
barème, baʁɛm
bas, ba
basal, bazal
basalte, bazalt
basaltique, bazaltik
basané, bazane
bascule, baskyl
basculement, baskylmɑ̃
basculer, baskyle
base, baz
baser, baze
basilaire, bazilɛʁ
basileus, bazileys
basilic, bazilik
basilique, bazilik
basin, bazɛ̃
basique, bazik
basket, baskɛt
basket-ball, baskɛtbol
basoche, bazɔʃ
basque, bask
bassement, basmɑ̃
bassesse, basɛs
bassin, basɛ̃
bassine, basin
bassinet, basinɛ
bassiste, basist
basson, basɔ̃
baster, baste
bastide, bastid
bastille, bastij
bastingage, bastɛ̃ɡaʒ
bastion, bastjɔ̃
baston, bastɔ̃
bastonnade, bastɔnad
bataille, bataj
batailler, bataje
batailleur, batajœʁ
bataillon, batajɔ̃
batardeau, bataʁdo
batave, batav
bateau, bato
bateleur, batlœʁ
batelier, batəlje
batellerie, batɛlʁi
batiste, batist
battage, bataʒ
battant, batɑ̃
batte, bat
battement, batmɑ̃
batterie, batʁi
batteur, batœʁ
battoir, batwaʁ
battre, batʁ
bau, bo
baudelairien, bodlɛʁjɛ̃
baudet, bodɛ
baudrier, bodʁije
baudruche, bodʁyʃ
baume, bom
bauxite, boksit
bavard, bavaʁ
bavardage, bavaʁdaʒ
bavarder, bavaʁde
bavarois, bavaʁwa
bave, bav
baver, bave
bavure, bavyʁ
bayer, baje
bayle, bɛl
bazar, bazaʁ
baïonnette, bajɔnɛt
beau, bo
beaucoup, boku
beaupré, bopʁe
beauté, bote
beaux-arts, bozaʁ
bec, bɛk
bedeau, bədo
beffroi, befʁwa
beige, bɛʒ
bel, bɛl
belette, bəlɛt
belge, bɛlʒ
belladone, beladɔn,bɛladɔn
belle, bɛl
bellement, bɛlmɑ̃
bellicisme, belisism,bɛlisism,bɛllisism
belliciste, belisist,bɛlisist,bɛllisist
belligérance, beliʒeʁɑ̃s,bɛliʒeʁɑ̃s,bɛlliʒeʁɑ̃s
belligérant, beliʒeʁɑ̃
belliqueux, belikø,bɛlikø
belvédère, bɛlvedɛʁ
ben, bɛ̃/bɛn
bengali, bɛ̃ɡali
benjamin, bɛ̃ʒamɛ̃
benjoin, bɛ̃ʒwɛ̃
benne, bɛn
benzine, bɛ̃zin
benzoate, bɛ̃zɔat
benzol, bɛ̃zɔl
benzoïque, bɛ̃zɔik
benzène, bɛ̃zɛn
benêt, bənɛ
ber, bɛʁ
berbère, bɛʁbɛʁ
bercail, bɛʁkaj
berce, bɛʁs
berceau, bɛʁso
bercement, bɛʁsəmɑ̃
bercer, bɛʁse
berge, bɛʁʒ
berger, bɛʁʒe
bergerie, bɛʁʒəʁi
bergsonien, bɛʁɡsɔnjɛ̃
bergsonisme, bɛʁɡsɔnism
berline, bɛʁlin
berlinois, bɛʁlinwa
berner, bɛʁne
besace, bəzas
besogne, bəzɔɲ
besogner, bəzɔɲe
besogneux, bəzɔɲø
besoin, bəzwɛ̃
bestiaire, bɛstjɛʁ
bestial, bɛstjal
bestialité, bɛstjalite
bestiau, bɛstjo
bestiole, bɛstjɔl
bette, bɛt
betterave, bɛtʁav
beur, bœʁ
beurre, bœʁ
beurrer, bœʁe
beuverie, bœvʁi
bey, bɛ
beylical, belikal
biais, bjɛ
biaiser, bjeze
bibelot, biblo
biberon, bibʁɔ̃
bible, bibl
biblio, biblijo
bibliographe, biblijɔɡʁaf
bibliographie, biblijɔɡʁafi
bibliographique, biblijɔɡʁafik
bibliophile, biblijɔfil
bibliothèque, biblijɔtɛk
bibliothécaire, biblijɔtekɛʁ
biblique, biblik
bicarbonate, bikaʁbɔnat
bicentenaire, bisɑ̃tnɛʁ
biceps, bisɛps
biche, biʃ
bichlorure, biklɔʁyʁ
bichromate, bikʁɔmat
bicoque, bikɔk
bicorne, bikɔʁn
bicyclette, bisiklɛt
bicéphale, bisefal
bidet, bidɛ
bidon, bidɔ̃
bidonville, bidɔ̃vil
bief, bjɛf
bielle, bjɛl
bien, bjɛ̃
bien-être, bjɛ̃nɛtʁ
bienfaisance, bjɛ̃fəzɑ̃s
bienfaisant, bjɛ̃fəzɑ̃
bienfait, bjɛ̃fɛ
bienfaiteur, bjɛ̃fɛtœʁ
bienheureux, bjɛ̃nœʁø
biennal, bjenal
bienséance, bjɛ̃seɑ̃s
bientôt, bjɛ̃to
bienveillance, bjɛ̃vɛjɑ̃s
bienveillant, bjɛ̃vɛjɑ̃
bienvenu, bjɛ̃vny
biffer, bife
bifide, bifid
bifteck, biftɛk
bifurcation, bifyʁkasjɔ̃
bifurquer, bifyʁke
bigamie, biɡami
bigarrure, biɡaʁyʁ
bigot, biɡo
bigoterie, biɡɔtʁi
bijou, biʒu
bijouterie, biʒutʁi
bijoutier, biʒutje
bilan, bilɑ̃
bilatéral, bilateʁal
bile, bil
biler, bile
bilharziose, bilaʁzjoz
biliaire, biljɛʁ
bilieux, biljø
bilingue, bilɛ̃ɡ
bilinguisme, bilɛ̃ɡɥism
bilirubine, biliʁybin
bill, bil
billard, bijaʁ
bille, bij
biller, bije
billet, bijɛ
billion, biljɔ̃
billon, bijɔ̃
billot, bijo
bimensuel, bimɑ̃sɥɛl
bimétallisme, bimetalism
binage, binaʒ
binaire, binɛʁ
binoculaire, binɔkylɛʁ
binôme, binom
bio, bjo
biochimie, bjoʃimi
biochimique, bjɔʃimik
biodiversité, bjɔdivɛʁsite
biographe, bjɔɡʁaf
biographie, bjɔɡʁafi
biographique, bjɔɡʁafik
biologie, bjɔlɔʒi
biologique, bjɔlɔʒik
biologiquement, bjɔlɔʒikmɑ̃
biologiste, bjɔlɔʒist
biomasse, bjomas
biomécanique, bjɔmekanik
biopsie, bjɔpsi
biosphère, bjɔsfɛʁ
biosynthèse, bjosɛ̃tɛz
biotechnologie, bjotɛknɔlɔʒi
biotite, bjɔtit
biotope, bjɔtɔp
bioxyde, bjɔksid
bioéthique, bjoetik
bipartisme, bipaʁtism
bipartition, bipaʁtisjɔ̃
bipolaire, bipɔlɛʁ
bipolarisation, bipɔlaʁizasjɔ̃
bipolarité, bipɔlaʁite
bipède, bipɛd
birman, biʁmɑ̃
biréfringence, biʁefʁɛ̃ʒɑ̃s
biréfringent, biʁefʁɛ̃ʒɑ̃
bis, bis/bi
bisaïeul, bizajœl
biscuit, biskɥi
biseau, bizo
bisexualité, bisɛksɥalite
bismuth, bismyt
bison, bizɔ̃
bissac, bisak
bistouri, bistuʁi
bistre, bistʁ
bistro, bistʁo
bistrot, bistʁo
bisulfate, bisylfat
bisulfite, bisylfit
bit, bit
bitter, bite
bitume, bitym
bitumineux, bityminø
biunivoque, biynivɔk
bivouac, bivwak
bivouaquer, bivwake
bizarre, bizaʁ
bizarrement, bizaʁmɑ̃
bizarrerie, bizaʁʁi
bière, bjɛʁ
black, blak
blafard, blafaʁ
blague, blaɡ
blaireau, blɛʁo
blanc, blɑ̃
blancheur, blɑ̃ʃœʁ
blanchiment, blɑ̃ʃimɑ̃
blanchir, blɑ̃ʃiʁ
blanchissage, blɑ̃ʃisaʒ
blanchisserie, blɑ̃ʃisʁi
blanchisseur, blɑ̃ʃisœʁ
blanchâtre, blɑ̃ʃatʁ
blaser, blaze
blason, blazɔ̃
blasphème, blasfɛm
blasphémateur, blasfematœʁ
blasphématoire, blasfematwaʁ
blasphémer, blasfeme
blastoderme, blastɔdɛʁm
blastème, blastɛm
bled, blɛd
blende, blɛ̃d
blennorragie, blenɔʁaʒi
blessant, blesɑ̃
blesser, blese
blessure, blesyʁ
blessé, blese
bleu, blø
bleuâtre, bløatʁ
blindage, blɛ̃daʒ
blinder, blɛ̃de
blindé, blɛ̃de
bloc, blɔk
blocage, blɔkaʒ
blockhaus, blɔkos
blocus, blɔkys
blog, blɔɡ
blond, blɔ̃
blondeur, blɔ̃dœʁ
bloquant, blɔkɑ̃
bloquer, blɔke
blottir, blɔtiʁ
blouse, bluz
blouson, bluzɔ̃
blues, bluz
bluff, blœf
blâmable, blamabl
blâme, blam
blâmer, blame
blé, ble
blême, blɛm
boa, bɔa
bobinage, bɔbinaʒ
bobine, bɔbin
bobiner, bɔbine
bobo, bobo
bocage, bɔkaʒ
bocal, bɔkal
boche, bɔʃ
bock, bɔk
body, bɔdi
bogie, bɔʒi
bohème, bɔɛm
bohémien, bɔemjɛ̃
boire, bwaʁ
bois, bwa
boisage, bwazaʒ
boisement, bwazmɑ̃
boiser, bwaze
boiserie, bwazʁi
boisseau, bwaso
boisson, bwasɔ̃
boiter, bwate
boiterie, bwatʁi
boiteux, bwatø
bol, bɔl
bolchevique, bɔlʃəvik
bolchevisme, bɔlʃəvism
bolcheviste, bɔlʃəvist,bɔlʃevist
bolide, bɔlid
bolivien, bɔlivjɛ̃
bombance, bɔ̃bɑ̃s
bombarde, bɔ̃baʁd
bombardement, bɔ̃baʁdəmɑ̃
bombarder, bɔ̃baʁde
bombardier, bɔ̃baʁdje
bombe, bɔ̃b
bombement, bɔ̃bmɑ̃
bomber, bɔ̃be
bon, bɔ̃
bonapartisme, bɔnapaʁtism
bonapartiste, bɔnapaʁtist
bonbon, bɔ̃bɔ̃
bond, bɔ̃
bonde, bɔ̃d
bondir, bɔ̃diʁ
bondissant, bɔ̃disɑ̃
bonheur, bɔnœʁ
bonhomie, bɔnɔmi
bonhomme, bɔnɔm
boni, bɔni
bonification, bɔnifikasjɔ̃
bonifier, bɔnifje
boniment, bɔnimɑ̃
bonjour, bɔ̃ʒuʁ
bonnement, bɔnmɑ̃
bonnet, bɔnɛ
bonneterie, bɔntʁi
bonnetier, bɔntje
bonshommes, bɔ̃sɔm
bonsoir, bɔ̃swaʁ
bonté, bɔ̃te
bonus, bɔnys
bonze, bɔ̃z
boom, bum
boomerang, bumʁɑ̃ɡ
borate, bɔʁat
borax, bɔʁaks
bord, bɔʁ
bordage, bɔʁdaʒ
bordant, bɔʁdɑ̃
bordeaux, bɔʁdo
bordel, bɔʁdɛl
bordelais, bɔʁdəlɛ
border, bɔʁde
bordereau, bɔʁdəʁo
bordure, bɔʁdyʁ
bordurer, bɔʁdyʁe
bordé, bɔʁde
bore, bɔʁ
borgne, bɔʁɲ
borique, bɔʁik
bornage, bɔʁnaʒ
borne, bɔʁn
borner, bɔʁne
boréal, bɔʁeal
bosniaque, bɔsnjak
bosquet, bɔskɛ
boss, bɔs
bosse, bɔs
bossu, bɔsy
bot, bo
botanique, bɔtanik
botaniste, bɔtanist
botte, bɔt
botter, bɔte
bottier, bɔtje
boubou, bubu
bouc, buk
bouche, buʃ
boucher, buʃe
boucherie, buʃʁi
bouchon, buʃɔ̃
bouclage, buklaʒ
boucle, bukl
boucler, bukle
bouclier, buklije
bouddha, buda
bouddhique, budik
bouddhisme, budism
bouddhiste, budist
bouder, bude
bouderie, budʁi
boudeur, budœʁ
boudin, budɛ̃
boudoir, budwaʁ
boue, bu
boueux, buø,bwø
bouffe, buf
bouffer, bufe
bouffissure, bufisyʁ
bouffon, bufɔ̃
bouffonnerie, bufɔnʁi
bouge, buʒ
bougeoir, buʒwaʁ
bouger, buʒe
bougie, buʒi
bougre, buɡʁ
bouillant, bujɑ̃
bouilleur, bujœʁ
bouillir, bujiʁ
bouilloire, bujwaʁ
bouillon, bujɔ̃
bouillonnant, bujɔnɑ̃
bouillonnement, bujɔnmɑ̃
bouillonner, bujɔne
boulanger, bulɑ̃ʒe
boulangerie, bulɑ̃ʒʁi
boulangisme, bulɑ̃ʒism
boulangiste, bulɑ̃ʒist
boule, bul
bouleau, bulo
bouler, bule
boulet, bulɛ
boulevard, bulvaʁ
bouleversant, bulvɛʁsɑ̃
bouleversement, bulvɛʁsəmɑ̃
bouleverser, bulvɛʁse
boulimie, bulimi
boulimique, bulimik
boulon, bulɔ̃
boulot, bulo
boum, bum
bouquet, bukɛ
bouquetin, buktɛ̃
bouquin, bukɛ̃
bouquiniste, bukinist
bourbeux, buʁbø
bourbier, buʁbje
bourdon, buʁdɔ̃
bourdonnement, buʁdɔnmɑ̃
bourdonner, buʁdɔne
bourg, buʁ
bourgade, buʁɡad
bourgeois, buʁʒwa
bourgeoisement, buʁʒwazmɑ̃
bourgeoisie, buʁʒwazi
bourgeon, buʁʒɔ̃
bourgeonnement, buʁʒɔnmɑ̃
bourgmestre, buʁɡmɛstʁ
bourgogne, buʁɡɔɲ
bourguignon, buʁɡiɲɔ̃
bourrage, buʁaʒ
bourrasque, buʁask
bourre, buʁ
bourreau, buʁo
bourrelet, buʁlɛ
bourrelier, buʁəlje
bourrer, buʁe
bourrique, buʁik
bourru, buʁy
bourse, buʁs
boursier, buʁsje
boursouflure, buʁsuflyʁ
bousculade, buskylad
bousculer, buskyle
bouse, buz
boussole, busɔl
bout, bu
boutade, butad
boutant, butɑ̃
bouteille, butɛj
bouteiller, buteje
bouter, bute
boutique, butik
boutiquier, butikje
boutoir, butwaʁ
bouton, butɔ̃
boutonnier, butɔnje
bouturage, butyʁaʒ
bouture, butyʁ
bouturer, butyʁe
bouvier, buvje
bouée, bwe
bovidé, bɔvide
bovin, bɔvɛ̃
box, bɔks
boxe, bɔks
boxeur, bɔksœʁ
boy, bɔj
boyard, bɔjaʁ
boyau, bwajo
boycott, bɔjkɔt
boycottage, bɔjkɔtaʒ
boycotter, bɔjkɔte
boîte, bwat
boîtier, bwatje
brabançon, bʁabɑ̃sɔ̃
bracelet, bʁaslɛ
brachial, bʁakjal
brachycéphale, bʁakisefal
braconnage, bʁakɔnaʒ
braconnier, bʁakɔnje
bractée, bʁakte
brader, bʁade
bradycardie, bʁadikaʁdi
braguette, bʁaɡɛt
brahmane, bʁaman
brahmanique, bʁamanik
brahmanisme, bʁamanism
brai, bʁɛ
braire, bʁɛʁ
braise, bʁɛz
bran, bʁɑ̃
brancard, bʁɑ̃kaʁ
branchage, bʁɑ̃ʃaʒ
branche, bʁɑ̃ʃ
branchement, bʁɑ̃ʃmɑ̃
brancher, bʁɑ̃ʃe
branchial, bʁɑ̃ʃjal
branchie, bʁɑ̃ʃi
brandir, bʁɑ̃diʁ
brandon, bʁɑ̃dɔ̃
branlant, bʁɑ̃lɑ̃
branle, bʁɑ̃l
branler, bʁɑ̃le
braquer, bʁake
bras, bʁa
brasero, bʁazeʁo
brasier, bʁazje
brassage, bʁasaʒ
brassard, bʁasaʁ
brasse, bʁas
brasser, bʁase
brasserie, bʁasʁi
brasseur, bʁasœʁ
bravade, bʁavad
brave, bʁav
bravement, bʁavmɑ̃
braver, bʁave
bravo, bʁavo
bravoure, bʁavuʁ
break, bʁɛk
brebis, bʁəbi
bref, bʁɛf
bretelle, bʁətɛl
breton, bʁətɔ̃
breuvage, bʁœvaʒ
brevet, bʁəvɛ
breveter, bʁəvte
bribe, bʁib
brick, bʁik
bricolage, bʁikɔlaʒ
bricoler, bʁikɔle
bricoleur, bʁikɔlœʁ
bride, bʁid
brider, bʁide
bridge, bʁidʒ
brigade, bʁiɡad
brigadier, bʁiɡadje
brigand, bʁiɡɑ̃
brigandage, bʁiɡɑ̃daʒ
brigantin, bʁiɡɑ̃tɛ̃
brigue, bʁiɡ
briguer, bʁiɡe
brillamment, bʁijamɑ̃
brillance, bʁijɑ̃s
brillant, bʁijɑ̃
brillanter, bʁijɑ̃te
briller, bʁije
brimade, bʁimad
brimer, bʁime
brin, bʁɛ̃
brindille, bʁɛ̃dij
brio, bʁijo
brique, bʁik
briquer, bʁike
briquet, bʁikɛ
briqueterie, bʁiktəʁi,bʁikɛtʁi
bris, bʁi
brisant, bʁizɑ̃
brise, bʁiz
brisement, bʁizmɑ̃
briser, bʁize
brisure, bʁizyʁ
britannique, bʁitanik
brièvement, bʁijɛvmɑ̃
brièveté, bʁijɛvte
broc, bʁo
brocanteur, bʁɔkɑ̃tœʁ
brocard, bʁɔkaʁ
brocart, bʁɔkaʁ
brochage, bʁɔʃaʒ
broche, bʁɔʃ
brocher, bʁɔʃe
brochet, bʁɔʃɛ
brochette, bʁɔʃɛt
brochure, bʁɔʃyʁ
broder, bʁɔde
broderie, bʁɔdʁi
broie, bʁwa
broiement, bʁwamɑ̃
brome, bʁom
bromhydrique, bʁɔmidʁik
bromure, bʁɔmyʁ
bronche, bʁɔ̃ʃ
broncher, bʁɔ̃ʃe
bronchique, bʁɔ̃ʃik
bronchite, bʁɔ̃ʃit
bronze, bʁɔ̃z
bronzer, bʁɔ̃ze
brossage, bʁɔsaʒ
brosse, bʁɔs
brosser, bʁɔse
brou, bʁu
brouet, bʁuɛ
brouette, bʁuɛt
brouhaha, bʁuaa
brouillage, bʁujaʒ
brouillard, bʁujaʁ
brouille, bʁuj
brouiller, bʁuje
brouillerie, bʁujʁi
brouillon, bʁujɔ̃
broussaille, bʁusaj
broussailleux, bʁusajø
brousse, bʁus
brouter, bʁute
brownien, bʁonjɛ̃
broyage, bʁwajaʒ
broyer, bʁwaje
broyeur, bʁwajœʁ
bru, bʁy
brucellose, bʁyseloz
bruir, bʁɥiʁ
bruire, bʁɥiʁ
bruissement, bʁɥismɑ̃
bruit, bʁɥi
brumaire, bʁymɛʁ
brume, bʁym
brumer, bʁyme
brumeux, bʁymø
brun, bʁœ̃
brunâtre, bʁynatʁ
brusque, bʁysk
brusquement, bʁyskəmɑ̃
brusquer, bʁyske
brusquerie, bʁyskəʁi
brut, bʁyt
brutal, bʁytal
brutalement, bʁytalmɑ̃
brutalité, bʁytalite
bruxellois, bʁyselwa
bruyamment, bʁɥijamɑ̃
bruyant, bʁɥijɑ̃
bruyère, bʁɥijɛʁ
brèche, bʁɛʃ
brésilien, bʁeziljɛ̃
bréviaire, bʁevjɛʁ
brûlant, bʁylɑ̃
brûler, bʁyle
brûleur, bʁylœʁ
brûlis, bʁyli
brûlot, bʁylo
brûlure, bʁylyʁ
brûlé, bʁyle
bu, by
buanderie, bɥɑ̃dʁi
bubon, bybɔ̃
buccal, bykal
bucolique, bykɔlik
budget, bydʒɛ
budgétaire, bydʒetɛʁ
buffet, byfɛ
buffle, byfl
building, bildiŋ
buis, bɥi
buisson, bɥisɔ̃
bulbaire, bylbɛʁ
bulbe, bylb
bulgare, bylɡaʁ
bull, byl
bulldozer, byldɔzɛʁ,buldozœʁ
bulle, byl
buller, byle
bulletin, byltɛ̃
bungalow, bœ̃ɡalo
bunker, bunkɛʁ,bunkœʁ
buraliste, byʁalist
bure, byʁ
bureau, byʁo
bureaucrate, byʁokʁat
bureaucratie, byʁokʁasi
bureaucratique, byʁokʁatik
bureaucratisation, byʁokʁatizasjɔ̃
burette, byʁɛt
burin, byʁɛ̃
burkinabé, byʁkinabe
burlesque, byʁlɛsk
burnous, byʁnu,byʁnus
burundais, buʁundɛ
bus, bys
buse, byz
business, biznɛs
busqué, byske
buste, byst
but, by,byt
butane, bytan
bute, byt
buter, byte
buteur, bytœʁ
butin, bytɛ̃
butiner, bytine
butoir, bytwaʁ
butor, bytɔʁ
butte, byt
butter, byte
butyrique, bytiʁik
buvard, byvaʁ
buvette, byvɛt
buveur, byvœʁ
buée, bɥe
byssus, bisys
byzantin, bizɑ̃tɛ̃
bâbord, babɔʁ
bâche, baʃ
bâillement, bajmɑ̃
bâiller, baje
bâillon, bajɔ̃
bât, ba
bâtard, bataʁ
bâtardise, bataʁdiz
bâter, bate
bâtiment, batimɑ̃
bâtir, batiʁ
bâtisse, batis
bâtisseur, batisœʁ
bâton, batɔ̃
bâtonnet, batɔnɛ
bâtonnier, batɔnje
béance, beɑ̃s
béant, beɑ̃
béarnais, beaʁnɛ
béat, bea
béatement, beatmɑ̃
béatification, beatifikasjɔ̃
